timestamp,message
1770946926000,2026-02-13T01:42:06 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946926000,2026-02-13T01:42:06 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946928000,2026-02-13T01:42:08 [SOURCE_UNLOAD   ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946928000,2026-02-13T01:42:08 [SOURCE_UNLOAD   ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946928000,2026-02-13T01:42:08 [TARGET_LOAD     ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946928000,2026-02-13T01:42:08 [TARGET_LOAD     ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946928000,2026-02-13T01:42:08 [TARGET_LOAD     ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946929000,2026-02-13T01:42:09 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946929000,2026-02-13T01:42:09 [SOURCE_UNLOAD   ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946929000,2026-02-13T01:42:09 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946931000,2026-02-13T01:42:11 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:966)
1770946931000,2026-02-13T01:42:11 [SOURCE_CAPTURE  ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946931000,2026-02-13T01:42:11 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946931000,2026-02-13T01:42:11 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946931000,2026-02-13T01:42:11 [TARGET_LOAD     ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946931000,2026-02-13T01:42:11 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946931000,2026-02-13T01:42:11 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946934000,2026-02-13T01:42:14 [SOURCE_UNLOAD   ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946934000,2026-02-13T01:42:14 [SOURCE_UNLOAD   ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946934000,2026-02-13T01:42:14 [TARGET_LOAD     ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946934000,2026-02-13T01:42:14 [TARGET_LOAD     ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946934000,2026-02-13T01:42:14 [TARGET_LOAD     ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946934000,2026-02-13T01:42:14 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946934000,2026-02-13T01:42:14 [SOURCE_UNLOAD   ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946934000,2026-02-13T01:42:14 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946936000,2026-02-13T01:42:16 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:966)
1770946936000,2026-02-13T01:42:16 [SOURCE_CAPTURE  ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946936000,2026-02-13T01:42:16 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
